,0
0,7
1,19
2,2
3,13
4,20
5,4
6,8
7,22
8,7
9,21
10,31
11,19
12,21
13,22
14,21
15,2
16,28
17,7
18,0
19,37
20,25
21,14
22,18
23,25
24,13
25,19
26,6
27,35
28,12
29,5
30,24
31,28
32,23
33,24
34,7
35,23
36,29
37,6
38,17
39,5
40,20
41,31
42,15
43,21
44,1
45,15
46,0
47,9
48,30
49,0
50,19
51,21
52,15
53,17
54,16
55,1
56,36
57,32
58,10
59,20
60,36
61,34
62,24
63,38
64,26
65,38
66,29
67,9
68,39
69,26
70,32
71,29
72,18
73,28
74,34
75,28
76,33
77,0
78,33
79,10
80,30
81,39
82,31
83,34
84,8
85,10
86,18
87,38
88,16
89,33
90,35
91,22
92,13
93,37
94,2
95,27
96,37
97,25
98,37
99,9
100,22
101,27
102,38
103,32
104,21
105,32
106,12
107,0
108,35
109,24
110,4
111,6
112,11
113,8
114,35
115,4
116,24
117,15
118,15
119,39
120,3
121,3
122,17
123,27
124,33
125,11
126,4
127,33
128,23
129,10
130,20
131,37
132,7
133,36
134,1
135,39
136,25
137,39
138,29
139,5
140,8
141,14
142,1
143,1
144,29
145,12
146,1
147,29
148,33
149,26
150,7
151,39
152,14
153,13
154,16
155,27
156,15
157,20
158,39
159,11
160,10
161,5
162,18
163,18
164,3
165,34
166,34
167,22
168,13
169,3
170,33
171,16
172,4
173,32
174,3
175,7
176,0
177,11
178,11
179,16
180,27
181,21
182,19
183,32
184,17
185,33
186,14
187,14
188,31
189,24
190,19
191,30
192,25
193,17
194,32
195,7
196,35
197,12
198,39
199,28
200,27
201,11
202,15
203,31
204,4
205,26
206,6
207,8
208,9
209,19
210,23
211,5
212,16
213,38
214,30
215,26
216,36
217,38
218,24
219,25
220,31
221,16
222,0
223,1
224,18
225,4
226,30
227,35
228,12
229,37
230,23
231,13
232,18
233,12
234,25
235,29
236,9
237,38
238,23
239,1
240,11
241,14
242,35
243,16
244,23
245,20
246,21
247,34
248,23
249,13
250,34
251,8
252,30
253,17
254,15
255,28
256,10
257,8
258,19
259,20
260,2
261,3
262,10
263,20
264,22
265,36
266,26
267,2
268,22
269,17
270,28
271,9
272,0
273,36
274,4
275,35
276,14
277,6
278,34
279,9
280,36
281,2
282,28
283,27
284,3
285,3
286,9
287,2
288,32
289,36
290,24
291,5
292,12
293,37
294,6
295,13
296,14
297,12
298,27
299,26
300,2
301,38
302,31
303,5
304,30
305,6
306,5
307,30
308,8
309,26
310,25
311,22
312,29
313,11
314,37
315,17
316,18
317,31
318,10
319,6
